Vehicle ID,State,Country,Location,Repair,Reason,YEAR,Make,Body Type
15241383936,Alabama,United States,"Alabama, United States",Battery replacement,Dead battery,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
15241383936,Alabama,United States,"Alabama, United States",Dent Repair Left Fender,Collision,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
60965535744,Alabama,United States,"Alabama, United States",Battery replacement,Dead battery,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
60965535744,Alabama,United States,"Alabama, United States",Tire repair,Flat- reparable,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
60965535744,Alabama,United States,"Alabama, United States",Tire replacement,Flat- hole not reparable,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.37E+11,Alabama,United States,"Alabama, United States",Battery replacement,Dead battery,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
1.37E+11,Alabama,United States,"Alabama, United States",Windshield replacement,Crack,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
2.44E+11,Alabama,United States,"Alabama, United States",Dent Repair Rear,Collision,2019,RAM,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
3.81E+11,Arkansas,United States,"Arkansas, United States",Windshield replacement,Crack,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
5.49E+11,Arkansas,United States,"Arkansas, United States",Tire repair,Flat- reparable,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
5.49E+11,Arkansas,United States,"Arkansas, United States",Windshield replacement,Crack,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
7.47E+11,Arkansas,United States,"Arkansas, United States",Battery replacement,Dead battery,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
7.47E+11,Arkansas,United States,"Arkansas, United States",Dent Repair Left Fender,Collision,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
7.47E+11,Arkansas,United States,"Arkansas, United States",Tire repair,Flat- reparable,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
7.47E+11,Arkansas,United States,"Arkansas, United States",Tire replacement,Flat- hole not reparable,2017,Chevrolet Silverado,"1500 4WD Double Cab 143.5"" LT w/1LT"
9.75E+11,Arkansas,United States,"Arkansas, United States",Tire replacement,Flat- hole not reparable,2018,Chevrolet Silverado,"1500 2WD Double Cab 143.5"" LT w/1LT"
1.23E+12,Arkansas,United States,"Arkansas, United States",Tire replacement,Flat- hole not reparable,2018,RAM,"1500 SLT 4X2 Quad Cab 6'4"" Box"
1.52E+12,Arkansas,United States,"Arkansas, United States",Tire replacement,Flat- hole not reparable,2019,RAM,"1500 Classic SLT 4X2 Crew Cab 6'4"" Box"
1.84E+12,Arizona,United States,"Arizona, United States",Battery replacement,Dead battery,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.84E+12,Arizona,United States,"Arizona, United States",Tire repair,Flat- reparable,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
1.84E+12,Arizona,United States,"Arizona, United States",Windshield replacement,Crack,2016,RAM,"1500 4WD Quad Cab 140.5"" SLT"
